OBJECTID,DOCUMENT_NBR,CRASH_REPORT_LINK,CRASH_YR,CRASH_MONTH_YEAR,DISTRICT_NBR,NLFID,NLF_JUR_CD,NLF_COUNTY_CD,COUNTY_LOG_NBR,ODOT_LATITUDE_NBR,ODOT_LONGITUDE_NBR,ODOT_FIPS_CD,AREA_CODE,CRASH_DATE,CRASH_SEVERITY_CD,CRASH_TYPE_CD,DAY_IN_WEEK_CD,DISTRACTED_DRIVER_IND,FACILITY_TYPE_CD,FHWA_RDWY_DEPARTURE_IND,FREEWAY_IND,FUNCTIONAL_CLASS_CD,HOUR_OF_CRASH,INCAPAC_INJURIES_NBR,INTERCHANGE_ID,INTERSECTION_ID_CURRENT,INTERSECTION_LEG_ID,INTERSTATE_IND,INV_LOG_NBR,INV_NLFID,IS_COMMERCIAL_RELATED,LIGHT_COND_PRIMARY_CD,LOCAL_REPORT_NUMBER_ID,MAINTENANCE_AUTHORITY_CD,MONTH_OF_CRASH,NHS_CD,NO_INJURY_REPORTED_NBR,NON_INCAPAC_INJURIES_NBR,NUMBER_OF_UNITS_NBR,ODOT_CITY_VILLAGE_TWP_NME,ODOT_CRASH_LOCATION_CD,ODOT_DIR_FROM_REF_CD,ODOT_DIV_UNDIV_IND,ODOT_INTERSECTION_REL_IND,ODOT_LANES_NBR,ODOT_MAINTAINED_HWY_IND,ODOT_MILES_FROM_REF_NBR,ODOT_REF_ROUTE_PREFIX_CD,ODOT_YOUNG_DRIVER_IND,ODPS_ADDRESS_REFERENCE,ODPS_ALCOHOL_IND,ODPS_CITY_VILLAGE_TWP_NME,ODPS_DRUG_IND,ODPS_LOC_DIR_SUFFIX_CD,ODPS_LOC_IN_WORK_ZONE_CD,ODPS_LOC_ROAD_DIRECTION_CD,ODPS_LOC_ROAD_NME,ODPS_LOC_ROAD_SUFFIX_CD,ODPS_LOC_ROUTE_ID,ODPS_LOC_ROUTE_PREFIX_CD,ODPS_LOC_ROUTE_SUFFIX_CD,ODPS_MILEPOST_REFERENCE,ODPS_MOTORCYCLE_IND,ODPS_REF_DIR_SUFFIX_CD,ODPS_REF_DIRECTION_CD,ODPS_REF_GIVEN,ODPS_REF_POINT_USED_CD,ODPS_REF_ROUTE_ID,ODPS_REF_ROUTE_PREFIX_CD,ODPS_REF_ROUTE_SUFFIX_CD,ODPS_REF_SUFFIX_CD,ODPS_SCHOOL_ZONE_IND,ODPS_SENIOR_DRIVER_IND,ODPS_SPEED_IND,ODPS_TOTAL_FATALITIES_NBR,ODPS_TYPE_OF_WORK_ZONE_CD,ODPS_WORK_ZONE_IND,OPER_ACCESS_CONTROL_CD,POSSIBLE_INJURIES_NBR,ROAD_COND_PRIMARY_CD,ROAD_CONTOUR_CD,SA_RAMP_ID,SA_SEGMENT_ID,SECONDARY_CRASH,STATE_TRUE_LOG_NBR,U1_AGE_NBR,U1_AT_FAULT_IND,U1_CONT_CIR_PRIMARY_CD,U1_DIRECTION_FROM_CD,U1_DIRECTION_TO_CD,U1_DISTRACTED_BY_1_CD,U1_GENDER_CD,U1_IS_ALCOHOL_SUSPECTED,U1_IS_MARIJUANA_SUSPECTED,U1_IS_OTHER_DRUG_SUSPECTED,U1_NON_MOTORIST_LOC_CD,U1_NUMBER_OF_THRU_LANES,U1_OBJECT_STRUCK,U1_ODPS_UNIT_NBR,U1_OPERATINGIN_AUTONOMOUS_MODE,U1_POSTED_SPEED_NBR,U1_PRECRASH_ACTION_CD,U1_SEQ_OF_EVENTS_1_CD,U1_SEQ_OF_EVENTS_2_CD,U1_SEQ_OF_EVENTS_3_CD,U1_SEQ_OF_EVENTS_4_CD,U1_SEQ_OF_EVENTS_5_CD,U1_SEQ_OF_EVENTS_6_CD,U1_SPECIAL_FUNCTION_CD,U1_TRAFFIC_CONTROL_CD,U1_TURN_CD,U1_TYPE_OF_UNIT_CD,U1_UNIT_SPEED_NBR,U2_AGE_NBR,U2_CONT_CIR_PRIMARY_CD,U2_DIRECTION_FROM_CD,U2_DIRECTION_TO_CD,U2_DISTRACTED_BY_1_CD,U2_GENDER_CD,U2_NON_MOTORIST_LOC_CD,U2_ODPS_UNIT_NBR,U2_POSTED_SPEED_NBR,U2_PRECRASH_ACTION_CD,U2_SEQ_OF_EVENTS_1_CD,U2_SEQ_OF_EVENTS_2_CD,U2_SEQ_OF_EVENTS_3_CD,U2_SEQ_OF_EVENTS_4_CD,U2_SEQ_OF_EVENTS_5_CD,U2_SEQ_OF_EVENTS_6_CD,U2_SPECIAL_FUNCTION_CD,U2_TRAFFIC_CONTROL_CD,U2_TURN_CD,U2_TYPE_OF_UNIT_CD,U2_UNIT_SPEED_NBR,U3_CONT_CIR_PRIMARY_CD,U3_ODPS_UNIT_NBR,U3_PRECRASH_ACTION_CD,U3_SEQ_OF_EVENTS_1_CD,U3_SEQ_OF_EVENTS_2_CD,U3_SEQ_OF_EVENTS_3_CD,U3_SEQ_OF_EVENTS_4_CD,U3_SEQ_OF_EVENTS_5_CD,U3_SEQ_OF_EVENTS_6_CD,U3_SPECIAL_FUNCTION_CD,U3_TRAFFIC_CONTROL_CD,U3_TYPE_OF_UNIT_CD,UNRESTRAIN_OCCUPANTS,WEATHER_COND_CD,V1,Filter,fileNames,Narrative
186099621,20186099621,https://hsip.dot.state.oh.us/api/report/20186099621,2018,6/1/2018 0:00,4,CSUMCR07003**C,C,SUM,0.386,41.062583,-81.534327,1000,766,6/25/2018 0:00,Minor injury suspected,Pedalcycles,2,N,NA,N,N,Local roads,13,0,NA,7e5fc7ce-d86c-42fd-8229-140317f71c5b,68931dc1-b1c2-4fbe-a191-5deb86469b86,N,0.386,CSUMCR07003**C,N,Daylight,T18003998,4,6,,2,1,2,AKRON,Four-way intersection,,N,Y,2,N,0,MR,N,,N,AKRON,N,,Activity area,,RUSSELL,AVE,,,,,N,,,PRINCETON,1,,,,ST,N,N,N,0,Intermittent or moving work,Y,NA,0,Dry,Straight grade,NA,90589,N,0.386,0,Y,Other improper action,South,East,Data not valid or not provided,U,N,N,N,Intersection ? unmarked crosswalk,2,Nothing struck,1,2,0,"Walking, running, jogging, playing",Motor vehicle in transport,NA,NA,NA,NA,NA,None,Stop sign,Right turn,Bicycle,0,32,1,3,4,1,M,NA,2,25,11,15,NA,NA,NA,NA,NA,1,4,NT,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,WZ_Non_CMV,2018/pdf/186099621,"unit# 1 was traveling n/b downhill on princeton street and ran the stop sign while making a right turn to go the wrong way (e/b) on russell avenue. unit# 2 was stopped at stop sign while traveling w/b on russell avenue. unit# 1 struck the front center of unit# 2, and the driver of unit# 1 was totally ejected on to the hood and quarter panel of unit# 2. driver of unit# 1 came to final rest on the pavement next to unit# 2's left side. driver of unit# 1 has injury to left shin, and left side of face."
186076084,20186076084,https://hsip.dot.state.oh.us/api/report/20186076084,2018,5/1/2018 0:00,6,MFRAMR04337**C,M,FRA,1.931,39.981097,-83.004336,18000,19234,5/9/2018 0:00,Injury possible,Pedalcycles,4,N,NA,N,N,Other principal arterial roads,15,0,NA,88514ac5-d524-4d9c-8493-06954be2445a,736a2431-f77e-4687-a2f4-b2a893c6b3ec,N,1.931,MFRAMR04337**C,N,Daylight,180369277,4,5,,1,0,2,COLUMBUS,Four-way intersection,,N,Y,4,N,0,MR,Y,,N,COLUMBUS,N,,Activity area,N,HIGH,ST,,,,,N,,E,1ST,1,,,,AVE,N,N,N,0,Lane closure,Y,NA,1,Dry,Straight level,NA,124339,N,1.931,0,Y,Following too close/acda,South,North,NA,U,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,25,Slowing or stopped in traffic,Pedalcycle,NA,NA,NA,NA,NA,None,No control,No turn,Sport utility vehicle,10,23,99,2,1,1,M,5,2,25,99,20,NA,NA,NA,NA,NA,1,6,NT,26,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,WZ_Non_CMV,2018/pdf/186076084,"accident occurred on n. high st., at e. 1st ave. both units were northbound on n. high st. rider of unit #2 stated driver of unit #1 was blowing his horn and cursing at rider #2 because driver #1 could not get around him. rider #2 stated unit #1 struck his bicycle in the rear and then fled eastbound on 1st ave., without stopping. rider of unit #2 stated he felt driver of unit #1's action was intentional. witness #1 stated he saw driver #1 strike unit #2. witness #2 stated the driver of unit #1 was a male black. rider #2 suffered scrapes on his knees, but refused medical treatment. aiu follow up requested."
204121910,20204121910,https://hsip.dot.state.oh.us/api/report/20204121910,2020,6/1/2020 0:00,8,SBUTSR00177**N,S,BUT,0.643,39.413921,-84.582145,33012,16885,6/10/2020 0:00,Minor injury suspected,Pedalcycles,4,N,Two-way roadway,N,N,Minor arterial roads,20,0,NA,090b64e6-9140-4f6d-b293-1210c714a0ec,dbec5e4a-daa9-4085-bfe0-cd0c1ec8abfb,N,0.643,SBUTSR00177**C,N,Dark - lighted roadway,20-006489,4,6,,1,1,2,HAMILTON,Not an intersection,N,Y,Y,4,N,0.002,MR,Y,,N,HAMILTON,N,,Activity area,,MAIN,ST,177,SR,,,N,,,WESTERN,1,,,,AVE,N,N,N,0,Lane shift/crossover,Y,3,0,Dry,Straight level,NA,328781,N,0.643,53,Y,Improper crossing,West,East,NA,M,N,N,N,Other / unknown,2,Nothing struck,1,2,25,Entering traffic lane,Motor vehicle in transport,NA,NA,NA,NA,NA,None,No control,No turn,Bicycle,5,18,1,6,7,1,M,NA,2,25,1,15,NA,NA,NA,NA,NA,1,2,NT,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,31720,WZ_Non_CMV,NA,NA
213123513,20213123513,https://hsip.dot.state.oh.us/api/report/20213123513,2021,6/1/2021 0:00,12,CCUYCR00062**C,C,CUY,0.001,41.429255,-81.592777,29428,17668,6/29/2021 0:00,Minor injury suspected,Pedalcycles,3,N,NA,N,N,Minor arterial roads,15,0,NA,ba3322ed-af3f-43e6-af0e-f3c17cc7b405,60b10aa5-c8b3-47bf-a7be-4f111900120a,N,0.001,CCUYCR00062**C,N,Daylight,20211786,4,6,,3,1,3,GARFIELD HEIGHTS,Four-way intersection,,N,Y,4,N,0,SR,N,,N,GARFIELD HEIGHTS,N,,Activity area,E,131ST,ST,,,,,N,,,Broadway,1,14,SR,,RD,N,N,N,0,Lane closure,Y,NA,0,Other / unknown,Straight grade,NA,18734,N,0.001,39,Y,Other improper action,North,South,Other / unknown,M,N,N,N,Intersection ? other,3,Nothing struck,1,2,25,Other non-motorist,Motor vehicle in transport,Motor vehicle in transport,NA,NA,NA,NA,None,Signal,No turn,Bicycle,20,53,1,4,3,1,M,NA,2,25,11,15,NA,NA,NA,NA,NA,1,2,NT,3,NA,1,3,11,15,NA,NA,NA,NA,NA,1,2,1,0,Cloudy,NA,WZ_Non_CMV,2021/pdf/213123513,"unit # 1 was traveling south on e 131 st. unit # 2 was traveling east on broadway . unit # 3 was directly behind unit # 2. unit # 1 traveled across broadway. as a result, the front of unit # 1 collided with the left side of unit # 2. unit # 1 continued to travel in a southern direction. the front of unit # 1 then collided with the front of unit # 3. the driver of unit # 1 was ejected in a southern direction. note: see narrative on long form."
213093479,20213093479,https://hsip.dot.state.oh.us/api/report/20213093479,2021,5/1/2021 0:00,8,SHAMUS00050**N,S,HAM,27.694,39.11936,-84.419444,15000,16885,5/27/2021 0:00,Fatal,Pedalcycles,5,N,Two-way roadway,Y,Y,Other freeways or expressways,11,0,44600,,,N,27.714,SHAMUS00050**C,N,Daylight,215006599,4,5,,1,0,2,CINCINNATI,5 or more point intersection,,Y,Y,4,N,0,,N,1720,Y,CINCINNATI,Y,,Activity area,,COLUMBIA,PKWY,,,,,N,,,1720TH,3,,,,,N,Y,N,1,Work on shoulder or median,Y,1,0,Dry,Straight level,NA,346372,N,27.694,53,Y,Other improper action,North,South,NA,M,N,N,N,Travel lane ? other location,4,Wall,1,2,0,Straight ahead,Wall,Motor vehicle in transport,NA,NA,NA,NA,None,Signal,No turn,Bicycle,0,65,1,4,3,1,M,NA,2,45,11,15,NA,NA,NA,NA,NA,1,2,NT,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,WZ_Non_CMV,2021/pdf/213093479,unit #1 was traveling soutbound on kemper ln crossing columbia pkwy. unit #2 was traveling eastbound on columbia pkwy stopped at the light. unit #1 failed to control the bike and struck unit #2 then struck a wall.
213229140,20213229140,https://hsip.dot.state.oh.us/api/report/20213229140,2021,8/1/2021 0:00,8,SCLIUS00022**C,S,CLI,10.246,39.448236,-83.807426,85792,99784,8/5/2021 0:00,Injury possible,Pedalcycles,5,N,Two-way roadway,N,N,Minor arterial roads,16,0,NA,fad58756-78a5-41e4-8c10-3db5eca4e8ce,e53df324-8c15-4da2-b8a5-b4dbf7a91851,N,10.246,SCLIUS00022**C,N,Daylight,A2021-00171,4,8,,1,0,2,WILMINGTON,Four-way intersection,,N,Y,4,N,0,MR,Y,,N,WILMINGTON,N,,Termination area,,LOWE'S,DR,,,,,N,,,ROMBACH,1,,,,AVE,N,N,N,0,Intermittent or moving work,Y,3,1,Dry,Straight level,NA,271038,N,49.167,26,N,None,West,North,NA,F,N,N,N,Data not valid or not provided,2,Nothing struck,1,0,35,Making leftturn,Pedalcycle,NA,NA,NA,NA,NA,None,Signal,Left turn,Sport utility vehicle,15,19,1,4,3,1,,1,2,35,1,20,NA,NA,NA,NA,NA,1,2,NT,26,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,WZ_Non_CMV,2021/pdf/213229140,"the driver of unit #1 stated she was in the left turn lane of rombach avenue waiting to turn left onto lowe's drive. when the light turned green for her lane, she turned left with traffic with one vehicle in front of her and another vehicle behind her turning at the same time. she advised that unit #2, an electric bicycle, came speeding into the crosswalk area and struck the left rear of unit #1. the operator of unit #2 states he had the right of way and was struck by unit #1"
174015362,20174015362,https://hsip.dot.state.oh.us/api/report/20174015362,2017,8/1/2017 0:00,6,SFRASR00256**C,S,FRA,0.74,39.945711,-82.796483,66390,19234,8/9/2017 0:00,Injury possible,Pedalcycles,4,N,Two-way roadway,N,N,Other principal arterial roads,20,0,NA,e362633f-95d0-4ce7-9832-ee44eedb02fd,436d115a-e2f3-43c6-bbe6-f472e1f70782,N,0.74,SFRASR00256**C,Y,Dawn/dusk,11705421,4,8,,1,0,2,REYNOLDSBURG,5 or more point intersection,,N,Y,4,N,0,MR,N,,N,REYNOLDSBURG,N,,NA,,,,256,SR,,,N,,E,LIVINGSTON,1,,,,AVE,N,N,N,0,NA,N,3,1,Dry,Straight level,NA,178592,N,0.74,13,Y,None,East,West,NA,F,N,N,N,Midblock ? marked crosswalk,2,Nothing struck,2,2,35,Entering or crossing specified location,Motor vehicle in transport,NA,NA,NA,NA,NA,None,Signal,No turn,Bicycle,5,60,17,3,1,1,M,NA,1,35,5,15,NA,NA,NA,NA,NA,1,2,RT,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_CMV,NA,NA
174020552,20174020552,https://hsip.dot.state.oh.us/api/report/20174020552,2017,9/1/2017 0:00,8,SBUTUS00127**C,S,BUT,6.73,39.403535,-84.556782,33012,16885,9/28/2017 0:00,Property damage only,Pedalcycles,5,N,Two-way roadway,N,N,Other principal arterial roads,16,0,NA,76ef89e9-2fff-40c2-b65c-1a163ab815e9,9a368afb-9a5b-4d60-abef-fac193a84b7e,N,6.73,SBUTUS00127**C,Y,Daylight,17-176079,4,9,,1,0,2,HAMILTON,Four-way intersection,,N,Y,4,N,0,CR,N,,N,HAMILTON,N,,NA,,MARTIN LUTHER KI,BLVD,127,US,,,N,,,HEATON,1,,,,ST,N,N,N,0,NA,N,3,0,Dry,Straight level,NA,346577,N,22.955,0,Y,Improper crossing,East,West,Data not valid or not provided,U,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,0,"Walking, running, jogging, playing",Motor vehicle in transport,NA,NA,NA,NA,NA,None,No control,No turn,Bicycle,0,41,1,3,4,1,F,NA,2,NA,1,15,NA,NA,NA,NA,NA,1,6,NT,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_CMV,NA,NA
174021396,20174021396,https://hsip.dot.state.oh.us/api/report/20174021396,2017,9/1/2017 0:00,12,CCUYCR00043**C,C,CUY,1.406,41.448366,-81.650542,16000,17668,9/11/2017 0:00,Property damage only,Pedalcycles,2,N,NA,N,N,Minor arterial roads,16,0,NA,e55ae416-7db4-46b3-bb33-ec84fe9e29d7,016a82af-3fc8-4bf1-be5b-9313901b4e21,N,1.406,CCUYCR00043**C,Y,Daylight,12259,4,9,,1,0,2,CLEVELAND,T-intersection,S,N,Y,4,N,0,CR,N,,N,CLEVELAND,N,,NA,E,56TH,ST,,,,,N,,,HARVARD,1,,,,AVE,N,N,N,0,NA,N,NA,0,Dry,Straight level,NA,52678,N,1.406,0,N,Wrong way,East,West,Data not valid or not provided,U,N,N,N,Intersection ? marked crosswalk,2,Nothing struck,1,2,25,"Walking, running, jogging, playing",Motor vehicle in transport,NA,NA,NA,NA,NA,None,Signal,No turn,Bicycle,5,58,1,2,3,1,M,NA,2,25,5,15,NA,NA,NA,NA,NA,1,2,RT,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_CMV,NA,NA
184009150,20184009150,https://hsip.dot.state.oh.us/api/report/20184009150,2018,5/1/2018 0:00,12,MLAKMR00071**C,M,LAK,0.014,41.6715,-81.424632,23618,17668,5/18/2018 0:00,Minor injury suspected,Pedalcycles,6,N,NA,N,N,Local roads,15,0,NA,9817600c-50f9-4936-bdef-6aa988d6ffd2,23d23491-f59a-4637-93c6-1c43c0b11d7e,N,0.014,MLAKMR00071**C,Y,Daylight,180510,4,5,,1,1,2,EASTLAKE,T-intersection,E,N,Y,2,N,0.001,SR,Y,,N,EASTLAKE,N,,NA,,HILLCREST,DR,,,,,N,,,LAKESHORE,1,283,SR,,BLVD,N,N,N,0,NA,N,NA,0,Dry,Straight level,NA,62963,N,0.014,17,N,Other improper action,North,NA,NA,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,25,Making righturn,Pedalcycle,NA,NA,NA,NA,NA,Other / unknown,No control,Right turn,Sport utility vehicle,5,25,99,2,1,1,M,1,2,NA,15,20,NA,NA,NA,NA,NA,1,6,NT,26,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Clear,NA,Non_WZ_CMV,NA,NA
