,Unnamed: 0,OBJECTID,DOCUMENT_NBR,CRASH_REPORT_LINK,CRASH_YR,CRASH_MONTH_YEAR,DISTRICT_NBR,NLFID,NLF_JUR_CD,NLF_COUNTY_CD,COUNTY_LOG_NBR,ODOT_LATITUDE_NBR,ODOT_LONGITUDE_NBR,ODOT_FIPS_CD,AREA_CODE,CRASH_DATE,CRASH_SEVERITY_CD,CRASH_TYPE_CD,DAY_IN_WEEK_CD,DISTRACTED_DRIVER_IND,FACILITY_TYPE_CD,FHWA_RDWY_DEPARTURE_IND,FREEWAY_IND,FUNCTIONAL_CLASS_CD,HOUR_OF_CRASH,INCAPAC_INJURIES_NBR,INTERCHANGE_ID,INTERSECTION_ID_CURRENT,INTERSECTION_LEG_ID,INTERSTATE_IND,INV_LOG_NBR,INV_NLFID,IS_COMMERCIAL_RELATED,LIGHT_COND_PRIMARY_CD,LOCAL_REPORT_NUMBER_ID,MAINTENANCE_AUTHORITY_CD,MONTH_OF_CRASH,NHS_CD,NO_INJURY_REPORTED_NBR,NON_INCAPAC_INJURIES_NBR,NUMBER_OF_UNITS_NBR,ODOT_CITY_VILLAGE_TWP_NME,ODOT_CRASH_LOCATION_CD,ODOT_DIR_FROM_REF_CD,ODOT_DIV_UNDIV_IND,ODOT_INTERSECTION_REL_IND,ODOT_LANES_NBR,ODOT_MAINTAINED_HWY_IND,ODOT_MILES_FROM_REF_NBR,ODOT_REF_ROUTE_PREFIX_CD,ODOT_YOUNG_DRIVER_IND,ODPS_ADDRESS_REFERENCE,ODPS_ALCOHOL_IND,ODPS_CITY_VILLAGE_TWP_NME,ODPS_DRUG_IND,ODPS_LOC_DIR_SUFFIX_CD,ODPS_LOC_IN_WORK_ZONE_CD,ODPS_LOC_ROAD_DIRECTION_CD,ODPS_LOC_ROAD_NME,ODPS_LOC_ROAD_SUFFIX_CD,ODPS_LOC_ROUTE_ID,ODPS_LOC_ROUTE_PREFIX_CD,ODPS_LOC_ROUTE_SUFFIX_CD,ODPS_MILEPOST_REFERENCE,ODPS_MOTORCYCLE_IND,ODPS_REF_DIR_SUFFIX_CD,ODPS_REF_DIRECTION_CD,ODPS_REF_GIVEN,ODPS_REF_POINT_USED_CD,ODPS_REF_ROUTE_ID,ODPS_REF_ROUTE_PREFIX_CD,ODPS_REF_ROUTE_SUFFIX_CD,ODPS_REF_SUFFIX_CD,ODPS_SCHOOL_ZONE_IND,ODPS_SENIOR_DRIVER_IND,ODPS_SPEED_IND,ODPS_TOTAL_FATALITIES_NBR,ODPS_TYPE_OF_WORK_ZONE_CD,ODPS_WORK_ZONE_IND,OPER_ACCESS_CONTROL_CD,POSSIBLE_INJURIES_NBR,ROAD_COND_PRIMARY_CD,ROAD_CONTOUR_CD,SA_RAMP_ID,SA_SEGMENT_ID,SECONDARY_CRASH,STATE_TRUE_LOG_NBR,U1_AGE_NBR,U1_AT_FAULT_IND,U1_CONT_CIR_PRIMARY_CD,U1_DIRECTION_FROM_CD,U1_DIRECTION_TO_CD,U1_DISTRACTED_BY_1_CD,U1_GENDER_CD,U1_IS_ALCOHOL_SUSPECTED,U1_IS_MARIJUANA_SUSPECTED,U1_IS_OTHER_DRUG_SUSPECTED,U1_NON_MOTORIST_LOC_CD,U1_NUMBER_OF_THRU_LANES,U1_OBJECT_STRUCK,U1_ODPS_UNIT_NBR,U1_OPERATINGIN_AUTONOMOUS_MODE,U1_POSTED_SPEED_NBR,U1_PRECRASH_ACTION_CD,U1_SEQ_OF_EVENTS_1_CD,U1_SEQ_OF_EVENTS_2_CD,U1_SEQ_OF_EVENTS_3_CD,U1_SEQ_OF_EVENTS_4_CD,U1_SEQ_OF_EVENTS_5_CD,U1_SEQ_OF_EVENTS_6_CD,U1_SPECIAL_FUNCTION_CD,U1_TRAFFIC_CONTROL_CD,U1_TURN_CD,U1_TYPE_OF_UNIT_CD,U1_UNIT_SPEED_NBR,U2_AGE_NBR,U2_CONT_CIR_PRIMARY_CD,U2_DIRECTION_FROM_CD,U2_DIRECTION_TO_CD,U2_DISTRACTED_BY_1_CD,U2_GENDER_CD,U2_NON_MOTORIST_LOC_CD,U2_ODPS_UNIT_NBR,U2_POSTED_SPEED_NBR,U2_PRECRASH_ACTION_CD,U2_SEQ_OF_EVENTS_1_CD,U2_SEQ_OF_EVENTS_2_CD,U2_SEQ_OF_EVENTS_3_CD,U2_SEQ_OF_EVENTS_4_CD,U2_SEQ_OF_EVENTS_5_CD,U2_SEQ_OF_EVENTS_6_CD,U2_SPECIAL_FUNCTION_CD,U2_TRAFFIC_CONTROL_CD,U2_TURN_CD,U2_TYPE_OF_UNIT_CD,U2_UNIT_SPEED_NBR,U3_CONT_CIR_PRIMARY_CD,U3_ODPS_UNIT_NBR,U3_PRECRASH_ACTION_CD,U3_SEQ_OF_EVENTS_1_CD,U3_SEQ_OF_EVENTS_2_CD,U3_SEQ_OF_EVENTS_3_CD,U3_SEQ_OF_EVENTS_4_CD,U3_SEQ_OF_EVENTS_5_CD,U3_SEQ_OF_EVENTS_6_CD,U3_SPECIAL_FUNCTION_CD,U3_TRAFFIC_CONTROL_CD,U3_TYPE_OF_UNIT_CD,UNRESTRAIN_OCCUPANTS,WEATHER_COND_CD,V1,Filter,fileNames,Narrative,clean_Narrative,Topic,Topic_num
1,1,186076084,20186076084,https://hsip.dot.state.oh.us/api/report/20186076084,2018,5/1/2018 0:00,6,MFRAMR04337**C,M,FRA,1.931,39.981097,-83.004336,18000,19234.0,5/9/2018 0:00,Injury possible,Pedalcycles,4,N,,N,N,Other principal arterial roads,15,0,,88514ac5-d524-4d9c-8493-06954be2445a,736a2431-f77e-4687-a2f4-b2a893c6b3ec,N,1.931,MFRAMR04337**C,N,Daylight,180369277,4,5,,1,0,2,COLUMBUS,Four-way intersection,,N,Y,4.0,N,0.0,MR,Y,,N,COLUMBUS,N,,Activity area,N,HIGH,ST,,,,,N,,E,1ST,1,,,,AVE,N,N,N,0,Lane closure,Y,,1,Dry,Straight level,,124339.0,N,1.931,0,Y,Following too close/acda,South,North,,U,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,25,Slowing or stopped in traffic,Pedalcycle,,,,,,None,No control,No turn,Sport utility vehicle,10,23.0,99,2.0,1.0,1.0,M,5.0,2,25.0,99.0,20,,,,,,1.0,6.0,NT,26,5.0,,,,,,,,,,,,,0,Clear,,WZ_Non_CMV,2018/pdf/186076084,"accident occurred on n. high st., at e. 1st ave. both units were northbound on n. high st. rider of unit #2 stated driver of unit #1 was blowing his horn and cursing at rider #2 because driver #1 could not get around him. rider #2 stated unit #1 struck his bicycle in the rear and then fled eastbound on 1st ave., without stopping. rider of unit #2 stated he felt driver of unit #1's action was intentional. witness #1 stated he saw driver #1 strike unit #2. witness #2 stated the driver of unit #1 was a male black. rider #2 suffered scrapes on his knees, but refused medical treatment. aiu follow up requested.",accident occur n st e ave northbound n st state blow curse state strike bicycle rear flee eastbound ave stop state feel action intentional witness state see strike witness state male black suffer scrape knee refuse medical treatment aiu follow request ,Bicycle Accident Cases,Bicycle Accident Cases
3,4,213093479,20213093479,https://hsip.dot.state.oh.us/api/report/20213093479,2021,5/1/2021 0:00,8,SHAMUS00050**N,S,HAM,27.694,39.11936,-84.419444,15000,16885.0,5/27/2021 0:00,Fatal,Pedalcycles,5,N,Two-way roadway,Y,Y,Other freeways or expressways,11,0,44600.0,,,N,27.714,SHAMUS00050**C,N,Daylight,215006599,4,5,,1,0,2,CINCINNATI,5 or more point intersection,,Y,Y,4.0,N,0.0,,N,1720,Y,CINCINNATI,Y,,Activity area,,COLUMBIA,PKWY,,,,,N,,,1720TH,3,,,,,N,Y,N,1,Work on shoulder or median,Y,1.0,0,Dry,Straight level,,346372.0,N,27.694,53,Y,Other improper action,North,South,,M,N,N,N,Travel lane ? other location,4,Wall,1,2,0,Straight ahead,Wall,Motor vehicle in transport,,,,,None,Signal,No turn,Bicycle,0,65.0,1,4.0,3.0,1.0,M,,2,45.0,11.0,15,,,,,,1.0,2.0,NT,3,,,,,,,,,,,,,,0,Clear,,WZ_Non_CMV,2021/pdf/213093479,unit #1 was traveling soutbound on kemper ln crossing columbia pkwy. unit #2 was traveling eastbound on columbia pkwy stopped at the light. unit #1 failed to control the bike and struck unit #2 then struck a wall., travel soutbound ln crossing columbia pkwy travel eastbound columbia pkwy stop light fail control bike strike strike wall , Bicycle Strikes on Roads , Bicycle Strikes on Roads 
4,5,213229140,20213229140,https://hsip.dot.state.oh.us/api/report/20213229140,2021,8/1/2021 0:00,8,SCLIUS00022**C,S,CLI,10.246,39.448236,-83.807426,85792,99784.0,8/5/2021 0:00,Injury possible,Pedalcycles,5,N,Two-way roadway,N,N,Minor arterial roads,16,0,,fad58756-78a5-41e4-8c10-3db5eca4e8ce,e53df324-8c15-4da2-b8a5-b4dbf7a91851,N,10.246,SCLIUS00022**C,N,Daylight,A2021-00171,4,8,,1,0,2,WILMINGTON,Four-way intersection,,N,Y,4.0,N,0.0,MR,Y,,N,WILMINGTON,N,,Termination area,,LOWE'S,DR,,,,,N,,,ROMBACH,1,,,,AVE,N,N,N,0,Intermittent or moving work,Y,3.0,1,Dry,Straight level,,271038.0,N,49.167,26,N,None,West,North,,F,N,N,N,Data not valid or not provided,2,Nothing struck,1,0,35,Making leftturn,Pedalcycle,,,,,,None,Signal,Left turn,Sport utility vehicle,15,19.0,1,4.0,3.0,1.0,,1.0,2,35.0,1.0,20,,,,,,1.0,2.0,NT,26,5.0,,,,,,,,,,,,,0,Clear,,WZ_Non_CMV,2021/pdf/213229140,"the driver of unit #1 stated she was in the left turn lane of rombach avenue waiting to turn left onto lowe's drive. when the light turned green for her lane, she turned left with traffic with one vehicle in front of her and another vehicle behind her turning at the same time. she advised that unit #2, an electric bicycle, came speeding into the crosswalk area and struck the left rear of unit #1. the operator of unit #2 states he had the right of way and was struck by unit #1", state left turn rombach avenue wait turn leave lowe drive turn lane turn leave traffic vehicle vehicle turn time advise electric bicycle come speed crosswalk area strike leave rear operator state right strike ,Bicycle Accident Cases,Bicycle Accident Cases
5,11,193113213,20193113213,https://hsip.dot.state.oh.us/api/report/20193113213,2019,6/1/2019 0:00,12,CCUYCR00284**C,C,CUY,3.7,41.530572,-81.528959,73264,17668.0,6/18/2019 0:00,Minor injury suspected,Pedalcycles,3,N,,N,N,Major collector roads,19,0,,d55635d7-2ece-485f-b512-6cd26eea76dc,80a5cb5d-ad6d-4bc5-aab8-ebd9e8ff81a7,N,3.7,CCUYCR00284**C,Y,Daylight,20190362,4,6,,1,1,2,SOUTH EUCLID,Four-way intersection,,Y,Y,4.0,N,0.0,MR,N,,N,SOUTH EUCLID,N,,,S,BELVOIR,BLVD,,,,,N,,,ADRIAN,1,,,,RD,N,N,N,0,,N,,0,Dry,Straight level,,37313.0,N,3.7,12,Y,Improper crossing,South,East,,M,N,N,N,Intersection ? marked crosswalk,4,Nothing struck,2,2,25,Other non-motorist,Motor vehicle in transport,,,,,,None,Flasher,Right turn,Bicycle,0,58.0,1,1.0,2.0,1.0,F,,1,35.0,1.0,15,,,,,,1.0,3.0,NT,3,25.0,,,,,,,,,,,,,0,Clear,,Non_WZ_CMV,2019/pdf/193113213,"unit 1 stated:she was driving s b s. belvoir blvd second lane from the curb approaching the intersection of adrian with a flashing yellow light. unit 2 (bicyclist) came from e b adrian s. belvoir into her path, she put on her brakes but struck unit 2. rn unit 2 stated:he was riding his bike (mens huffy superia 15 spd #ah15c005451) s b s. belvoir (west side on sidewalk) approaching adrian. he continued onto adrain , thought it was clear to turn left and then turned left (e b) on a flashing red light into the s b lanes (outside of the crosswalk) of s. belvoir and was struck by unit 1. upon impact the he was thrown onto the hood of unit 1 and rolled off onto the pavement of s b s.belvoir hitting his head on the ground. r n sefd arrived on scene and met with unit 2 who was now with his mother (leanna jones). he had a cuts on his left arm elbow and his head hurt. unit 2 refused a transport and his mother will take him to the hospital.", state drive s s belvoir blvd second curb approach intersection flash yellow light come e s belvoir path brake strike rn state ride bike s s belvoir approach adrian continue adrain think clear turn leave turn leave flash red s lane s belvoir strike impact throw roll pavement s sbelvoir hit ground sefd arrive scene meet mother cut leave arm elbow hurt refuse transport mother hospital ,Bicycle Accident Cases,Bicycle Accident Cases
8,31,176022515,20176022515,https://hsip.dot.state.oh.us/api/report/20176022515,2017,2/1/2017 0:00,11,SBELUS00040**C,S,BEL,16.53,40.074746,-80.9387,66628,99999.0,2/19/2017 0:00,Serious injury suspected,Pedalcycles,1,N,Two-way roadway,Y,N,Major collector roads,15,1,,,,N,16.53,SBELUS00040**C,N,Daylight,07-0167-07,1,2,,2,0,2,RICHLAND TOWNSHIP,Driveway/alley access,W,N,Y,2.0,Y,0.4,,N,,N,RICHLAND TOWNSHIP,N,,,,NATIONAL,RD,40,US,,17.0,N,,,,2,,,,,N,N,N,0,,N,3.0,0,Dry,Straight grade,,271795.0,N,215.795,31,Y,Failure to yield,East,South,,F,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,40,Making leftturn,Cross centerline ? opposite direction of travel,Pedalcycle,,,,,None,No control,Left turn,Sport utility vehicle,1,44.0,1,4.0,3.0,1.0,M,7.0,2,40.0,15.0,20,,,,,,1.0,6.0,NT,26,,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2017/pdf/176022515,unit # 1 was traveling westbound on us-40. unit # 2 was traveling eastbound on us-40. unit # 1 failed to yield when turning left and was struck in the right side by unit # 2., travel westbound us travel eastbound us fail yield turning leave strike right ,Road Travel Fails,Road Travel Fails
10,36,176027547,20176027547,https://hsip.dot.state.oh.us/api/report/20176027547,2017,3/1/2017 0:00,6,MFRAMR04343**C,M,FRA,0.512,39.955249,-82.939545,6278,19234.0,3/1/2017 0:00,Serious injury suspected,Pedalcycles,4,N,,N,N,Major collector roads,20,1,,3b11b118-1994-43ab-be5e-bc75bbf99945,f8116ba5-2fe9-4000-bb66-1b745dd30a65,N,0.512,MFRAMR04343**C,N,Dark - lighted roadway,17BEX-3150-AC,4,3,,1,0,2,BEXLEY,T-intersection,,N,Y,2.0,N,0.0,MR,Y,,N,BEXLEY,N,,,,COLLEGE,AVE,,,,,N,,E,MOUND,1,,,,ST,N,N,N,0,,N,,0,Wet,Straight level,,288958.0,N,0.512,19,Y,Other improper action,West,East,,M,N,N,N,Intersection ? other,2,Nothing struck,2,2,0,Entering or crossing specified location,Motor vehicle in transport,,,,,,None,Stop sign,No turn,Bicycle,0,59.0,1,1.0,2.0,1.0,M,,1,25.0,1.0,15,,,,,,1.0,6.0,NT,3,25.0,,,,,,,,,,,,,0,,,Non_WZ_Non_CMV,2017/pdf/176027547,"on 3/1/17 at 2033, unit #1 was traveling 25 mph southbound on college ave. at mound st. when unit #2 failed to yield at the stop sign eastbound on mound st. unit #2 was struck by unit #1. the operator of unit #2 was transported to grant medical center.", travel mph southbound college ave mound st fail yield stop sign eastbound mound st strike operator transport medical center ,traffic fails at intersections,traffic fails at intersections
11,39,176016143,20176016143,https://hsip.dot.state.oh.us/api/report/20176016143,2017,2/1/2017 0:00,4,CSUMCR00015**C,C,SUM,8.007,41.023585,-81.491591,1000,766.0,2/4/2017 0:00,Property damage only,Pedalcycles,7,N,,N,N,Minor arterial roads,14,0,,39e13655-71a7-441d-bfcf-75a9a06d5f23,d4e5bd95-4fca-4269-80ef-3249f018e1ef,N,8.007,CSUMCR00015**C,N,Daylight,T17000728,4,2,,2,0,2,AKRON,T-intersection,S,N,Y,4.0,N,0.009,MR,N,,N,AKRON,N,,,S,ARLINGTON,ST,,,,,N,,,ALFRED,1,,,,RD,N,N,N,0,,N,,0,Dry,Straight level,,7215.0,N,8.007,0,Y,Improper crossing,North,South,Data not valid or not provided,U,N,N,N,Shoulder / roadside,2,Nothing struck,2,2,0,,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,0,58.0,1,1.0,2.0,1.0,F,,1,35.0,1.0,15,,,,,,1.0,6.0,NT,3,35.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2017/pdf/176016143,unit 1 was traveling s/b on s arlington in the right hand lane. an unknown b/m was riding a bicycle s/b on the shoulder of s. arlington. the unknown male darted in front of unit 1 striking the front right bumper causing minor damage. the unknown male then fled s/b on arlington. it is unknown if he had any injuries., travel s s arlington right lane unknown m ride bicycle s shoulder s arlington unknown male dart strike right bumper cause damage unknown male flee s arlington unknown injury ,Bicycle Accidents and Injuries,Bicycle Accidents and Injuries
14,49,176017086,20176017086,https://hsip.dot.state.oh.us/api/report/20176017086,2017,2/1/2017 0:00,6,CFRACR00017**C,C,FRA,4.16,40.058108,-82.922691,18000,19234.0,2/8/2017 0:00,Property damage only,Pedalcycles,4,N,,N,N,Other principal arterial roads,6,0,,96fd4c0d-4afc-4b27-b8e0-bf7d7b0f3598,29470c84-cbec-45b1-8ce5-c96aa88ba866,N,4.16,CFRACR00017**C,N,Dark - lighted roadway,P170109880,4,2,,2,0,2,COLUMBUS,Four-way intersection,W,Y,Y,6.0,N,0.002,CR,Y,,N,COLUMBUS,N,,,,MORSE,RD,,,,,N,,,SUNBURY,1,,,,RD,N,N,N,0,,N,,0,Dry,Straight level,,9211.0,N,4.16,25,Y,Improper crossing,East,West,,M,N,N,N,Intersection ? marked crosswalk,2,Nothing struck,1,2,45,Unknown,Motor vehicle in transport,,,,,,None,Signal,No turn,Bicycle,5,49.0,1,3.0,2.0,1.0,M,,2,45.0,6.0,15,,,,,,1.0,2.0,LT,3,20.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2017/pdf/176017086,"on wednesday february 8th 2017 at approximately 7:12 am the driver of unit #1 stated he was traveling westbound on morse road while on a bicycle. driver of unit #1 advised that he crossed into the crosswalk on the south side of the roadway and was struck by a 4 door red suv that was turning southbound onto sunbury road. driver of unit #1 advised that he had minor to no injuries and declined any medical treatment. driver of unit #1 left the scene of the accident. driver of unit #2 stated that he was traveling westbound on morse road attempting to turn southbound onto sunbury road when a bicyclist, who was in the crosswalk on the south side of the roadway heading westbound, struck his driver side mirror. driver of unit #2 advised he was not injured and declined any medical treatment on scene. the driver of unit #1 was found to be at fault for failure to operate a bicycle upon the right side of roadway.",wednesday february approximately state travel westbound road bicycle advise cross crosswalk roadway strike door red suv turn southbound sunbury road advise injury decline medical treatment leave scene accident state travel westbound road attempt turn southbound sunbury road bicyclist crosswalk roadway heading westbound strike mirror advise injure decline medical treatment scene find fault failure operate bicycle right roadway ,Bicycle Accident Cases,Bicycle Accident Cases
16,51,176040361,20176040361,https://hsip.dot.state.oh.us/api/report/20176040361,2017,3/1/2017 0:00,7,MMOTMR05409**C,M,MOT,0.385,39.760943,-84.148946,21000,22528.0,3/24/2017 0:00,Minor injury suspected,Pedalcycles,6,N,,N,N,Major collector roads,16,0,,d327c83e-002f-40e7-9146-d6dffa95c64b,ea42dfa0-d17b-4575-b4d9-26df75b5cc70,N,0.385,MMOTMR05409**C,N,Daylight,1703240070,4,3,,1,1,2,DAYTON,Four-way intersection,,N,Y,4.0,N,0.0,MR,Y,,N,DAYTON,N,,,,BURKHARDT,DR,,,,,N,,,HARBINE,1,,,,AVE,N,N,N,0,,N,,0,Dry,Straight grade,,290630.0,N,0.385,16,Y,Other improper action,South,North,,M,N,N,N,Intersection ? other,2,Nothing struck,1,2,25,Entering or crossing specified location,Motor vehicle in transport,,,,,,None,Stop sign,No turn,Bicycle,0,49.0,1,3.0,4.0,1.0,M,,2,25.0,1.0,15,,,,,,1.0,6.0,NT,3,,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2017/pdf/176040361,unit #1 was traveling nb on s harbine approaching the intersection with burkhardt ave. unit #2 was traveling wb on burkhardt ave approaching the intersection with s harbine ave. unit #1 failed to stop for the stop sign on s harbine and entered the intersection with burkhardt ave. unit #1 was struck by unit #2., travel nb s harbine approach intersection ave travel wb ave approach intersection s harbine ave fail stop stop sign s harbine enter intersection ave strike ,traffic fails at intersections,traffic fails at intersections
24,160,176076445,20176076445,https://hsip.dot.state.oh.us/api/report/20176076445,2017,5/1/2017 0:00,6,MFRAMR04280**C,M,FRA,2.966,39.946992,-83.031404,18000,19234.0,5/28/2017 0:00,Minor injury suspected,Pedalcycles,1,N,,N,N,Other principal arterial roads,13,0,,e7fa0f35-ff9d-40dc-b0cc-24b1411e766a,36fa9a9f-6cc0-460a-b03d-cc3517a70b6e,N,2.966,MFRAMR04280**C,N,Daylight,170448250,4,5,,2,1,2,COLUMBUS,Off ramp,S,N,Y,4.0,N,0.0,RA,N,,N,COLUMBUS,N,,,,,,70,IR,,,N,,W,MOUND,1,,,,ST,N,N,N,0,,N,,0,Dry,Straight level,,127431.0,N,2.966,0,Y,Failure to yield,North,West,,F,N,N,N,Data not valid or not provided,2,Nothing struck,2,2,35,Making righturn,Pedalcycle,,,,,,None,Signal,Right turn,Sport utility vehicle,15,32.0,1,4.0,3.0,1.0,M,1.0,1,35.0,14.0,20,,,,,,1.0,2.0,NT,26,5.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2017/pdf/176076445,unit 1 was bicycling e/b on w mound st. across the cross walk to 70 w/b exit ramp to w mound st when unit 2 whom was exiting the ramp from 70 attempting to turn w/b on w mound st failed to yield to the 2 occupants on the bike and causing a crash. the female occupant on the bike (unit 1) was standing on the foot pegs on the rear of the bike and was hit by the front of unit 2. the female on unit 1 was transported to mount carmel west in stable condition by cfd medic 890. the unknown driver of unit 2 did stop but failed to provide any personal information to unit 1 and left the scene. a witness to the crash whom was traveling behind unit 2 provided responding officers the license plate and vehicle description. the witness stated that the driver of unit 2 also gave unit 1 some money to not report the crash to police. initially both occupants in unit 1 did not want to file a report and were uncooperative. then a block later the female in unit 1 decided that she was having difficulty walking and decided to file a crash report., bicycling e w mound st walk w exit ramp w mound st exiting ramp attempt turn w w mound st fail yield occupant bike cause crash female occupant bike stand foot peg rear bike hit female transport stable condition cfd medic unknown stop fail provide personal information leave scene witness crash travel provide respond officer license plate vehicle description witness state give money report crash police initially occupant want file report uncooperative later female decide have difficulty walk decide file crash report ,Bicycle Accident Cases,Bicycle Accident Cases
