,OBJECTID,DOCUMENT_NBR,CRASH_REPORT_LINK,CRASH_YR,CRASH_MONTH_YEAR,DISTRICT_NBR,NLFID,NLF_JUR_CD,NLF_COUNTY_CD,COUNTY_LOG_NBR,ODOT_LATITUDE_NBR,ODOT_LONGITUDE_NBR,ODOT_FIPS_CD,AREA_CODE,CRASH_DATE,CRASH_SEVERITY_CD,CRASH_TYPE_CD,DAY_IN_WEEK_CD,DISTRACTED_DRIVER_IND,FACILITY_TYPE_CD,FHWA_RDWY_DEPARTURE_IND,FREEWAY_IND,FUNCTIONAL_CLASS_CD,HOUR_OF_CRASH,INCAPAC_INJURIES_NBR,INTERCHANGE_ID,INTERSECTION_ID_CURRENT,INTERSECTION_LEG_ID,INTERSTATE_IND,INV_LOG_NBR,INV_NLFID,IS_COMMERCIAL_RELATED,LIGHT_COND_PRIMARY_CD,LOCAL_REPORT_NUMBER_ID,MAINTENANCE_AUTHORITY_CD,MONTH_OF_CRASH,NHS_CD,NO_INJURY_REPORTED_NBR,NON_INCAPAC_INJURIES_NBR,NUMBER_OF_UNITS_NBR,ODOT_CITY_VILLAGE_TWP_NME,ODOT_CRASH_LOCATION_CD,ODOT_DIR_FROM_REF_CD,ODOT_DIV_UNDIV_IND,ODOT_INTERSECTION_REL_IND,ODOT_LANES_NBR,ODOT_MAINTAINED_HWY_IND,ODOT_MILES_FROM_REF_NBR,ODOT_REF_ROUTE_PREFIX_CD,ODOT_YOUNG_DRIVER_IND,ODPS_ADDRESS_REFERENCE,ODPS_ALCOHOL_IND,ODPS_CITY_VILLAGE_TWP_NME,ODPS_DRUG_IND,ODPS_LOC_DIR_SUFFIX_CD,ODPS_LOC_IN_WORK_ZONE_CD,ODPS_LOC_ROAD_DIRECTION_CD,ODPS_LOC_ROAD_NME,ODPS_LOC_ROAD_SUFFIX_CD,ODPS_LOC_ROUTE_ID,ODPS_LOC_ROUTE_PREFIX_CD,ODPS_LOC_ROUTE_SUFFIX_CD,ODPS_MILEPOST_REFERENCE,ODPS_MOTORCYCLE_IND,ODPS_REF_DIR_SUFFIX_CD,ODPS_REF_DIRECTION_CD,ODPS_REF_GIVEN,ODPS_REF_POINT_USED_CD,ODPS_REF_ROUTE_ID,ODPS_REF_ROUTE_PREFIX_CD,ODPS_REF_ROUTE_SUFFIX_CD,ODPS_REF_SUFFIX_CD,ODPS_SCHOOL_ZONE_IND,ODPS_SENIOR_DRIVER_IND,ODPS_SPEED_IND,ODPS_TOTAL_FATALITIES_NBR,ODPS_TYPE_OF_WORK_ZONE_CD,ODPS_WORK_ZONE_IND,OPER_ACCESS_CONTROL_CD,POSSIBLE_INJURIES_NBR,ROAD_COND_PRIMARY_CD,ROAD_CONTOUR_CD,SA_RAMP_ID,SA_SEGMENT_ID,SECONDARY_CRASH,STATE_TRUE_LOG_NBR,U1_AGE_NBR,U1_AT_FAULT_IND,U1_CONT_CIR_PRIMARY_CD,U1_DIRECTION_FROM_CD,U1_DIRECTION_TO_CD,U1_DISTRACTED_BY_1_CD,U1_GENDER_CD,U1_IS_ALCOHOL_SUSPECTED,U1_IS_MARIJUANA_SUSPECTED,U1_IS_OTHER_DRUG_SUSPECTED,U1_NON_MOTORIST_LOC_CD,U1_NUMBER_OF_THRU_LANES,U1_OBJECT_STRUCK,U1_ODPS_UNIT_NBR,U1_OPERATINGIN_AUTONOMOUS_MODE,U1_POSTED_SPEED_NBR,U1_PRECRASH_ACTION_CD,U1_SEQ_OF_EVENTS_1_CD,U1_SEQ_OF_EVENTS_2_CD,U1_SEQ_OF_EVENTS_3_CD,U1_SEQ_OF_EVENTS_4_CD,U1_SEQ_OF_EVENTS_5_CD,U1_SEQ_OF_EVENTS_6_CD,U1_SPECIAL_FUNCTION_CD,U1_TRAFFIC_CONTROL_CD,U1_TURN_CD,U1_TYPE_OF_UNIT_CD,U1_UNIT_SPEED_NBR,U2_AGE_NBR,U2_CONT_CIR_PRIMARY_CD,U2_DIRECTION_FROM_CD,U2_DIRECTION_TO_CD,U2_DISTRACTED_BY_1_CD,U2_GENDER_CD,U2_NON_MOTORIST_LOC_CD,U2_ODPS_UNIT_NBR,U2_POSTED_SPEED_NBR,U2_PRECRASH_ACTION_CD,U2_SEQ_OF_EVENTS_1_CD,U2_SEQ_OF_EVENTS_2_CD,U2_SEQ_OF_EVENTS_3_CD,U2_SEQ_OF_EVENTS_4_CD,U2_SEQ_OF_EVENTS_5_CD,U2_SEQ_OF_EVENTS_6_CD,U2_SPECIAL_FUNCTION_CD,U2_TRAFFIC_CONTROL_CD,U2_TURN_CD,U2_TYPE_OF_UNIT_CD,U2_UNIT_SPEED_NBR,U3_CONT_CIR_PRIMARY_CD,U3_ODPS_UNIT_NBR,U3_PRECRASH_ACTION_CD,U3_SEQ_OF_EVENTS_1_CD,U3_SEQ_OF_EVENTS_2_CD,U3_SEQ_OF_EVENTS_3_CD,U3_SEQ_OF_EVENTS_4_CD,U3_SEQ_OF_EVENTS_5_CD,U3_SEQ_OF_EVENTS_6_CD,U3_SPECIAL_FUNCTION_CD,U3_TRAFFIC_CONTROL_CD,U3_TYPE_OF_UNIT_CD,UNRESTRAIN_OCCUPANTS,WEATHER_COND_CD,V1,Filter,fileNames,Narrative,clean_Narrative
0,186099621,20186099621,https://hsip.dot.state.oh.us/api/report/20186099621,2018,6/1/2018 0:00,4,CSUMCR07003**C,C,SUM,0.386,41.062583,-81.534327,1000,766.0,6/25/2018 0:00,Minor injury suspected,Pedalcycles,2,N,,N,N,Local roads,13,0,,7e5fc7ce-d86c-42fd-8229-140317f71c5b,68931dc1-b1c2-4fbe-a191-5deb86469b86,N,0.386,CSUMCR07003**C,N,Daylight,T18003998,4,6,,2,1,2,AKRON,Four-way intersection,,N,Y,2.0,N,0.0,MR,N,,N,AKRON,N,,Activity area,,RUSSELL,AVE,,,,,N,,,PRINCETON,1,,,,ST,N,N,N,0,Intermittent or moving work,Y,,0,Dry,Straight grade,,90589.0,N,0.386,0,Y,Other improper action,South,East,Data not valid or not provided,U,N,N,N,Intersection ? unmarked crosswalk,2,Nothing struck,1,2,0,"Walking, running, jogging, playing",Motor vehicle in transport,,,,,,None,Stop sign,Right turn,Bicycle,0,32.0,1,3.0,4.0,1.0,M,,2,25.0,11.0,15,,,,,,1.0,4.0,NT,3,,,,,,,,,,,,,,0,Clear,,WZ_Non_CMV,2018/pdf/186099621,"unit# 1 was traveling n/b downhill on princeton street and ran the stop sign while making a right turn to go the wrong way (e/b) on russell avenue. unit# 2 was stopped at stop sign while traveling w/b on russell avenue. unit# 1 struck the front center of unit# 2, and the driver of unit# 1 was totally ejected on to the hood and quarter panel of unit# 2. driver of unit# 1 came to final rest on the pavement next to unit# 2's left side. driver of unit# 1 has injury to left shin, and left side of face.", downhill princeton wrong center totally eject quarter panel final rest pavement shin face 
1,186076084,20186076084,https://hsip.dot.state.oh.us/api/report/20186076084,2018,5/1/2018 0:00,6,MFRAMR04337**C,M,FRA,1.931,39.981097,-83.004336,18000,19234.0,5/9/2018 0:00,Injury possible,Pedalcycles,4,N,,N,N,Other principal arterial roads,15,0,,88514ac5-d524-4d9c-8493-06954be2445a,736a2431-f77e-4687-a2f4-b2a893c6b3ec,N,1.931,MFRAMR04337**C,N,Daylight,180369277,4,5,,1,0,2,COLUMBUS,Four-way intersection,,N,Y,4.0,N,0.0,MR,Y,,N,COLUMBUS,N,,Activity area,N,HIGH,ST,,,,,N,,E,1ST,1,,,,AVE,N,N,N,0,Lane closure,Y,,1,Dry,Straight level,,124339.0,N,1.931,0,Y,Following too close/acda,South,North,,U,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,25,Slowing or stopped in traffic,Pedalcycle,,,,,,None,No control,No turn,Sport utility vehicle,10,23.0,99,2.0,1.0,1.0,M,5.0,2,25.0,99.0,20,,,,,,1.0,6.0,NT,26,5.0,,,,,,,,,,,,,0,Clear,,WZ_Non_CMV,2018/pdf/186076084,"accident occurred on n. high st., at e. 1st ave. both units were northbound on n. high st. rider of unit #2 stated driver of unit #1 was blowing his horn and cursing at rider #2 because driver #1 could not get around him. rider #2 stated unit #1 struck his bicycle in the rear and then fled eastbound on 1st ave., without stopping. rider of unit #2 stated he felt driver of unit #1's action was intentional. witness #1 stated he saw driver #1 strike unit #2. witness #2 stated the driver of unit #1 was a male black. rider #2 suffered scrapes on his knees, but refused medical treatment. aiu follow up requested.", occur  blow curse  feel action intentional see male black suffer scrape knee refuse aiu follow request 
3,213123513,20213123513,https://hsip.dot.state.oh.us/api/report/20213123513,2021,6/1/2021 0:00,12,CCUYCR00062**C,C,CUY,0.001,41.429255,-81.592777,29428,17668.0,6/29/2021 0:00,Minor injury suspected,Pedalcycles,3,N,,N,N,Minor arterial roads,15,0,,ba3322ed-af3f-43e6-af0e-f3c17cc7b405,60b10aa5-c8b3-47bf-a7be-4f111900120a,N,0.001,CCUYCR00062**C,N,Daylight,20211786,4,6,,3,1,3,GARFIELD HEIGHTS,Four-way intersection,,N,Y,4.0,N,0.0,SR,N,,N,GARFIELD HEIGHTS,N,,Activity area,E,131ST,ST,,,,,N,,,Broadway,1,14,SR,,RD,N,N,N,0,Lane closure,Y,,0,Other / unknown,Straight grade,,18734.0,N,0.001,39,Y,Other improper action,North,South,Other / unknown,M,N,N,N,Intersection ? other,3,Nothing struck,1,2,25,Other non-motorist,Motor vehicle in transport,Motor vehicle in transport,,,,,None,Signal,No turn,Bicycle,20,53.0,1,4.0,3.0,1.0,M,,2,25.0,11.0,15,,,,,,1.0,2.0,NT,3,,1.0,3.0,11.0,15.0,,,,,,1.0,2.0,1.0,0,Cloudy,,WZ_Non_CMV,2021/pdf/213123513,"unit # 1 was traveling south on e 131 st. unit # 2 was traveling east on broadway . unit # 3 was directly behind unit # 2. unit # 1 traveled across broadway. as a result, the front of unit # 1 collided with the left side of unit # 2. unit # 1 continued to travel in a southern direction. the front of unit # 1 then collided with the front of unit # 3. the driver of unit # 1 was ejected in a southern direction. note: see narrative on long form.", directly  continue eject note narrative form 
5,213229140,20213229140,https://hsip.dot.state.oh.us/api/report/20213229140,2021,8/1/2021 0:00,8,SCLIUS00022**C,S,CLI,10.246,39.448236,-83.807426,85792,99784.0,8/5/2021 0:00,Injury possible,Pedalcycles,5,N,Two-way roadway,N,N,Minor arterial roads,16,0,,fad58756-78a5-41e4-8c10-3db5eca4e8ce,e53df324-8c15-4da2-b8a5-b4dbf7a91851,N,10.246,SCLIUS00022**C,N,Daylight,A2021-00171,4,8,,1,0,2,WILMINGTON,Four-way intersection,,N,Y,4.0,N,0.0,MR,Y,,N,WILMINGTON,N,,Termination area,,LOWE'S,DR,,,,,N,,,ROMBACH,1,,,,AVE,N,N,N,0,Intermittent or moving work,Y,3.0,1,Dry,Straight level,,271038.0,N,49.167,26,N,None,West,North,,F,N,N,N,Data not valid or not provided,2,Nothing struck,1,0,35,Making leftturn,Pedalcycle,,,,,,None,Signal,Left turn,Sport utility vehicle,15,19.0,1,4.0,3.0,1.0,,1.0,2,35.0,1.0,20,,,,,,1.0,2.0,NT,26,5.0,,,,,,,,,,,,,0,Clear,,WZ_Non_CMV,2021/pdf/213229140,"the driver of unit #1 stated she was in the left turn lane of rombach avenue waiting to turn left onto lowe's drive. when the light turned green for her lane, she turned left with traffic with one vehicle in front of her and another vehicle behind her turning at the same time. she advised that unit #2, an electric bicycle, came speeding into the crosswalk area and struck the left rear of unit #1. the operator of unit #2 states he had the right of way and was struck by unit #1", rombach wait lowe advise electric came 
11,193113213,20193113213,https://hsip.dot.state.oh.us/api/report/20193113213,2019,6/1/2019 0:00,12,CCUYCR00284**C,C,CUY,3.7,41.530572,-81.528959,73264,17668.0,6/18/2019 0:00,Minor injury suspected,Pedalcycles,3,N,,N,N,Major collector roads,19,0,,d55635d7-2ece-485f-b512-6cd26eea76dc,80a5cb5d-ad6d-4bc5-aab8-ebd9e8ff81a7,N,3.7,CCUYCR00284**C,Y,Daylight,20190362,4,6,,1,1,2,SOUTH EUCLID,Four-way intersection,,Y,Y,4.0,N,0.0,MR,N,,N,SOUTH EUCLID,N,,,S,BELVOIR,BLVD,,,,,N,,,ADRIAN,1,,,,RD,N,N,N,0,,N,,0,Dry,Straight level,,37313.0,N,3.7,12,Y,Improper crossing,South,East,,M,N,N,N,Intersection ? marked crosswalk,4,Nothing struck,2,2,25,Other non-motorist,Motor vehicle in transport,,,,,,None,Flasher,Right turn,Bicycle,0,58.0,1,1.0,2.0,1.0,F,,1,35.0,1.0,15,,,,,,1.0,3.0,NT,3,25.0,,,,,,,,,,,,,0,Clear,,Non_WZ_CMV,2019/pdf/193113213,"unit 1 stated:she was driving s b s. belvoir blvd second lane from the curb approaching the intersection of adrian with a flashing yellow light. unit 2 (bicyclist) came from e b adrian s. belvoir into her path, she put on her brakes but struck unit 2. rn unit 2 stated:he was riding his bike (mens huffy superia 15 spd #ah15c005451) s b s. belvoir (west side on sidewalk) approaching adrian. he continued onto adrain , thought it was clear to turn left and then turned left (e b) on a flashing red light into the s b lanes (outside of the crosswalk) of s. belvoir and was struck by unit 1. upon impact the he was thrown onto the hood of unit 1 and rolled off onto the pavement of s b s.belvoir hitting his head on the ground. r n sefd arrived on scene and met with unit 2 who was now with his mother (leanna jones). he had a cuts on his left arm elbow and his head hurt. unit 2 refused a transport and his mother will take him to the hospital.", belvoir second flash yellow belvoir path brake rn belvoir adrian continue adrain think flash belvoir impact throw roll pavement sbelvoir ground sefd meet mother cut arm elbow refuse mother 
18,176010716,20176010716,https://hsip.dot.state.oh.us/api/report/20176010716,2017,1/1/2017 0:00,8,CHAMCR00461**C,C,HAM,0.378,39.1057,-84.428414,15000,16885.0,1/22/2017 0:00,Minor injury suspected,Pedalcycles,1,N,,N,N,Major collector roads,15,0,,,,N,0.378,CHAMCR00461**C,N,Daylight,175001083,4,1,,2,1,2,CINCINNATI,Shared-use paths or trails,,N,N,2.0,N,0.0,,N,358,N,CINCINNATI,N,,,,WILMER,AVE,,,,,N,,,,3,,,,,N,Y,N,0,,N,,0,Dry,Straight level,,28855.0,N,0.378,81,Y,Failure to yield,East,,,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,35,Making righturn,Pedalcycle,,,,,,None,Stop sign,Right turn,Sport utility vehicle,5,55.0,1,1.0,2.0,1.0,M,11.0,2,35.0,15.0,20,,,,,,1.0,4.0,NT,26,2.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2017/pdf/176010716,"unit #1 was exiting a private driveway intending to turn northwest onto wilmer ave. unit #2, a bicycle with an attached trailer bicycle, was traveling southbound on the lunken bike trail. unit #1 failed to yield to unit #2, struck unit #2 causing the passenger on the trailer bike to be thrown to the ground causing facial injuries. the passenger was treated at the scene by cfd and was going to be transported by his parents to a dentist/doctor.", intend attach trailer lunken trail trailer throw ground facial go parent dentist doctor 
33,176022910,20176022910,https://hsip.dot.state.oh.us/api/report/20176022910,2017,2/1/2017 0:00,6,MFRAMR01538A*C,M,FRA,0.093,40.061319,-82.96171,18000,19234.0,2/20/2017 0:00,Serious injury suspected,Pedalcycles,2,N,,N,N,Minor collector roads,15,1,,,,N,0.093,MFRAMR01538A*C,N,Daylight,170146563,4,2,,1,0,2,COLUMBUS,T-intersection,E,N,Y,2.0,N,0.099,,N,,N,COLUMBUS,N,,,S,NORTHTOWNE,BLVD,,,,,N,,W,MORSE,1,,,,RD,N,N,N,0,,N,,0,Dry,Straight level,,137281.0,N,0.093,53,Y,Improper crossing,West,East,,M,N,N,N,Sidewalk,2,Nothing struck,1,2,0,"Walking, running, jogging, playing",Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,5,30.0,1,1.0,2.0,1.0,F,,2,,1.0,15,,,,,,1.0,4.0,NT,3,3.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2017/pdf/176022910,"driver on unit # 2 was traveling southbound in the private lot attempting to make a right turn onto morse rd to head westbound. driver on unit #1 was operating a bicycle on the sidewalk heading eastbound parallel with morse rd. driver on unit #2 stated that she did not see unit #1 on the sidewalk. driver of unit #2 stated she was attempting to make a right turn and struck the bicycle with the right front of her vehicle. driver on unit #1 stated he thought the driver on unit #2 was going to stop for him because he was on the sidewalk. driver of unit #1 stated he continued through eastbound on the side walk when he was struck by unit #2. driver of unit #1 was transported by cfd medic 24 to riverside hospital were he was treated by dr. jenkins. unit #1 was found to be at fault for riding a bicycle on the sidewalk, but not cited.", operating head parallel think go continued walk medic jenkins find fault 
39,176016143,20176016143,https://hsip.dot.state.oh.us/api/report/20176016143,2017,2/1/2017 0:00,4,CSUMCR00015**C,C,SUM,8.007,41.023585,-81.491591,1000,766.0,2/4/2017 0:00,Property damage only,Pedalcycles,7,N,,N,N,Minor arterial roads,14,0,,39e13655-71a7-441d-bfcf-75a9a06d5f23,d4e5bd95-4fca-4269-80ef-3249f018e1ef,N,8.007,CSUMCR00015**C,N,Daylight,T17000728,4,2,,2,0,2,AKRON,T-intersection,S,N,Y,4.0,N,0.009,MR,N,,N,AKRON,N,,,S,ARLINGTON,ST,,,,,N,,,ALFRED,1,,,,RD,N,N,N,0,,N,,0,Dry,Straight level,,7215.0,N,8.007,0,Y,Improper crossing,North,South,Data not valid or not provided,U,N,N,N,Shoulder / roadside,2,Nothing struck,2,2,0,,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,0,58.0,1,1.0,2.0,1.0,F,,1,35.0,1.0,15,,,,,,1.0,6.0,NT,3,35.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2017/pdf/176016143,unit 1 was traveling s/b on s arlington in the right hand lane. an unknown b/m was riding a bicycle s/b on the shoulder of s. arlington. the unknown male darted in front of unit 1 striking the front right bumper causing minor damage. the unknown male then fled s/b on arlington. it is unknown if he had any injuries., unknown m unknown male bumper unknown male unknown 
49,176017086,20176017086,https://hsip.dot.state.oh.us/api/report/20176017086,2017,2/1/2017 0:00,6,CFRACR00017**C,C,FRA,4.16,40.058108,-82.922691,18000,19234.0,2/8/2017 0:00,Property damage only,Pedalcycles,4,N,,N,N,Other principal arterial roads,6,0,,96fd4c0d-4afc-4b27-b8e0-bf7d7b0f3598,29470c84-cbec-45b1-8ce5-c96aa88ba866,N,4.16,CFRACR00017**C,N,Dark - lighted roadway,P170109880,4,2,,2,0,2,COLUMBUS,Four-way intersection,W,Y,Y,6.0,N,0.002,CR,Y,,N,COLUMBUS,N,,,,MORSE,RD,,,,,N,,,SUNBURY,1,,,,RD,N,N,N,0,,N,,0,Dry,Straight level,,9211.0,N,4.16,25,Y,Improper crossing,East,West,,M,N,N,N,Intersection ? marked crosswalk,2,Nothing struck,1,2,45,Unknown,Motor vehicle in transport,,,,,,None,Signal,No turn,Bicycle,5,49.0,1,3.0,2.0,1.0,M,,2,45.0,6.0,15,,,,,,1.0,2.0,LT,3,20.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2017/pdf/176017086,"on wednesday february 8th 2017 at approximately 7:12 am the driver of unit #1 stated he was traveling westbound on morse road while on a bicycle. driver of unit #1 advised that he crossed into the crosswalk on the south side of the roadway and was struck by a 4 door red suv that was turning southbound onto sunbury road. driver of unit #1 advised that he had minor to no injuries and declined any medical treatment. driver of unit #1 left the scene of the accident. driver of unit #2 stated that he was traveling westbound on morse road attempting to turn southbound onto sunbury road when a bicyclist, who was in the crosswalk on the south side of the roadway heading westbound, struck his driver side mirror. driver of unit #2 advised he was not injured and declined any medical treatment on scene. the driver of unit #1 was found to be at fault for failure to operate a bicycle upon the right side of roadway.", advise door sunbury advise decline sunbury heading mirror advise injure decline find fault failure operate 
50,176018609,20176018609,https://hsip.dot.state.oh.us/api/report/20176018609,2017,2/1/2017 0:00,7,MMOTMR05016**C,M,MOT,0.5,39.757112,-84.158988,21000,22528.0,2/7/2017 0:00,Minor injury suspected,Pedalcycles,3,N,,N,N,Major collector roads,14,0,,1f05dcac-8472-450f-ab19-029a49dc3b0a,0c893f81-e6f8-4709-abb4-3cffa45a3700,N,0.5,MMOTMR05016**C,N,Daylight,1702070052,4,2,,1,2,2,DAYTON,T-intersection,,N,Y,2.0,N,0.0,MR,N,,N,DAYTON,N,,,,HAMILTON,AVE,,,,,N,,,STEVE WHALEN,1,,,,BLVD,N,N,N,0,,N,,0,Dry,Straight level,,158499.0,N,0.5,33,Y,Failure to yield,East,South,,M,N,N,N,Travel lane ? other location,2,Nothing struck,1,2,35,Unknown,Motor vehicle in transport,,,,,,None,No control,Left turn,Bicycle,3,60.0,1,4.0,3.0,1.0,M,,2,35.0,1.0,15,,,,,,1.0,6.0,NT,3,30.0,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2017/pdf/176018609,"at about 1435hrs on 2-11-2017 unit #1 was traveling west on hamilton ave. in the first lane from the north curb behind two other unknown vehicles at approx 3mph and when at steve whalen bl, a non-controlled intersection, failed to yield the right of way to on-coming traffic while making a left turn and in doing so collided with unit #2 which was traveling east on hamilton ave in the first lane from south curb at approx 30mph.",hrs unknown approx non making approx 
